site_id,date,NDVI
WL-DAR-01,2026-03,0.7458
WL-DAR-01,2026-04,0.6891
WL-DAR-01,2026-05,0.6936
WL-DAR-01,2026-06,0.6467
WL-DAR-01,2026-07,0.5467
WL-DAR-02,2023-01,0.7312
WL-DAR-02,2023-03,0.7025
WL-DAR-02,2023-04,0.6549
WL-DAR-02,2023-06,0.482
WL-DAR-02,2023-07,0.4071
WL-DAR-02,2023-08,0.3921
WL-DAR-02,2023-09,0.3708
WL-DAR-02,2023-10,0.422
WL-DAR-02,2023-11,0.5578
WL-DAR-02,2023-12,0.5915
WL-DAR-02,2024-01,0.7013
WL-DAR-02,2024-02,0.7115
WL-DAR-02,2024-03,0.6764
WL-DAR-02,2024-04,0.6049
WL-DAR-02,2024-05,0.5333
WL-DAR-02,2024-06,0.4541
WL-DAR-02,2024-07,0.343
WL-DAR-02,2024-08,0.3492
WL-DAR-02,2024-09,0.4247
WL-DAR-02,2024-10,0.4961
WL-DAR-02,2024-11,0.5974
WL-DAR-02,2024-12,0.7175
WL-DAR-02,2025-01,0.7869
WL-DAR-02,2025-03,0.7402
WL-DAR-02,2025-04,0.7086
WL-DAR-02,2025-05,0.6249
WL-DAR-02,2025-06,0.4806
WL-DAR-02,2025-07,0.4295
WL-DAR-02,2025-08,0.396
WL-DAR-02,2025-09,0.4332
WL-DAR-02,2025-10,0.486
WL-DAR-02,2025-11,0.567
WL-DAR-02,2025-12,0.6486
WL-DAR-02,2026-01,0.6718
WL-DAR-02,2026-02,0.6561
WL-DAR-02,2026-03,0.6382
WL-DAR-02,2026-04,0.6075
WL-DAR-02,2026-05,0.5662
WL-DAR-02,2026-06,0.4888
WL-DAR-02,2026-07,0.4182
WL-DAR-03,2023-01,0.8814
WL-DAR-03,2023-03,0.8753
WL-DAR-03,2023-04,0.8783
WL-DAR-03,2023-06,0.8694
WL-DAR-03,2023-07,0.8352
WL-DAR-03,2023-08,0.8061
WL-DAR-03,2023-09,0.7956
WL-DAR-03,2023-10,0.8203
WL-DAR-03,2023-11,0.8623
WL-DAR-03,2023-12,0.8558
WL-DAR-03,2024-01,0.8756
WL-DAR-03,2024-02,0.8943
WL-DAR-03,2024-03,0.8751
WL-DAR-03,2024-04,0.8408
WL-DAR-03,2024-05,0.8606
WL-DAR-03,2024-06,0.8568
WL-DAR-03,2024-07,0.8204
WL-DAR-03,2024-08,0.7857
WL-DAR-03,2024-09,0.7377
WL-DAR-03,2024-10,0.8052
WL-DAR-03,2024-11,0.8271
WL-DAR-03,2024-12,0.837
WL-DAR-03,2025-01,0.8892
WL-DAR-03,2025-03,0.8842
WL-DAR-03,2025-04,0.8865
WL-DAR-03,2025-05,0.8894
WL-DAR-03,2025-06,0.872
WL-DAR-03,2025-07,0.8522
WL-DAR-03,2025-08,0.8069
